	BA-Grp1	BB-Grp1	BC-Grp1	BD-Grp1	BE-Grp1	BF-Grp1	BG-Grp1	BH-Grp1	BI-Grp1	BJ-Grp1	BK-Grp1	BL-Grp1	BM-Grp1	BN-Grp1	BO-Grp1	BP-Grp1	BQ-Grp1	BR-Grp1	BS-Grp1	AA-Grp2	AB-Grp2	AC-Grp2	AD-Grp2	AE-Grp2	AF-Grp2	AG-Grp2	AH-Grp2	AI-Grp2	AJ-Grp2	AK-Grp2	AL-Grp2	AM-Grp2	AN-Grp2	AO-Grp2	AP-Grp2	AQ-Grp2	AR-Grp2	AS-Grp2
X1433EPSILON	-0.000478	-0.189865633	-0.084892889	-0.180881303	-0.174530126	-0.332508091	-0.220588576	-0.248476305	-0.19523134	-0.123413203	-0.047150828	0.380267765	0.283692476	-0.268004179	-0.132546279	-0.125411554	-0.125087852	-0.098956107	-0.151120168	-0.101494228620234	-0.146819630029142	-0.198692010259108	-0.098456537017104	-0.0746497856591505	-0.0984499693977452	-0.0759841302679592	-0.0709403800867636	0.0239514128945513	-0.0908636218549341	0.403006051795174	0.285713667904425	-0.262515729740003	-0.0894328120787255	-0.153912649283159	-0.124043584957216	-0.257399939113593	-0.107432453161822	-0.168904700405484
X4EBP1	-0.145120682	0.321401501	0.774333408	0.445931583	0.590603237	0.16038682	0.511294133	-0.007546305	0.46581552	-0.201894661	-0.031024621	0.22848668	0.288201438	0.323229711	0.516929408	0.313659556	0.46889624	0.306386581	0.511869646	0.599341850468856	0.584002314169534	0.607494702136812	0.538366778046109	0.492301387306586	0.504060225353915	0.487992844461284	0.612395198025967	0.231239079789993	0.183089817268249	0.398846535436673	0.36411068935314	0.55306572229073	0.535534254912364	0.287189646021689	0.398449981326962	0.290856890188876	0.435121614526124	0.493818755023985
X4EBP1_pS65	0.391508934	0.287448069	0.443134546	0.861687831	0.727527869	0.978514437	1.262528331	1.105762305	1.219818679	0.354094875	0.280361204	-0.52902365	-0.287712937	0.623290259	0.708624229	0.794438155	0.546310636	0.738986262	0.78091071	0.0914408955490734	0.278030245180043	0.888304743865079	0.873541020124824	1.38917650143236	1.39295237048366	1.54627091980115	1.93117292663591	-0.108678173730358	0.35434112188318	-1.53076630350862	-1.16707803907482	1.01186316108817	0.688648290058205	0.687334913122712	0.788559054313353	0.52168244994986	0.775320363290717	0.731015180265151
X4EBP1_pT37T46	1.161950826	1.766058933	1.715108678	1.862480719	1.713786439	1.464106981	1.795679241	1.541405814	1.594142304	0.981115146	0.69044831	-1.078468954	-1.000563545	1.816147937	2.060151569	1.890049147	2.064798789	1.7456163	1.751091851	1.44288454606217	1.50892974556876	1.82090410002362	1.62128064493499	1.27479134771144	1.57129994965475	1.44188575815769	1.53595481278721	0.92331194147319	0.865900613200051	-0.842123957615161	-1.06431704758061	1.82463729222258	1.90322065445651	1.98040533933385	1.82495914356737	1.69123628467778	1.81899961606385	2.10903455490063
X53BP1	-1.081390634	-0.411656634	-0.182940104	-0.412289091	-0.292260208	-1.245232255	-0.757001468	-1.109445558	-0.878577299	-0.976180918	-1.022550821	-1.141684292	-1.025872344	-0.780345134	-0.649506366	-0.658281639	-0.726911063	-0.565452016	-0.574602488	0.0223668264611461	0.183960651477114	-0.133248227696433	-0.0866473634833232	-1.22739796144523	-1.3077672981418	-1.50594548624863	-1.86369407154578	-1.15968057022858	-1.10145918805866	-1.02846174553417	-1.25967201982929	-0.564940062351834	-0.529001377919898	-0.621544197904798	-0.746282335138879	-0.743529513878883	-0.623978790726513	-0.690762490431029
ACC_pS79	-0.111206684	-0.873813967	-0.507762198	-0.931534732	-0.793255108	-1.339366176	-0.871796532	-0.902759384	-0.548574928	1.082707673	0.998832217	-0.379829001	-0.317318362	-0.636758408	-0.392451047	-0.316557969	-0.61081377	-0.263939582	-0.325209401	-1.32314736543719	-1.14345916593238	-1.9319335687761	-1.68446086693175	-2.23823745973608	-1.98289228427989	-1.08293772125467	-0.574282599899349	3.93592299870146	3.82232950864734	-0.308083836984643	-0.252718161747604	-0.971857722299463	-0.426668699538412	-0.538745167492005	-0.31355629817472	-0.681413927705842	-0.261394339092487	-0.323951744996535
ACC1	2.535169782	1.426875182	1.268519127	1.112148035	1.182641737	0.094523202	0.397830539	0.17594764	0.189772192	1.030586148	0.934496224	0.650487471	0.735296689	0.878971973	1.120775641	0.81053684	0.81807803	1.149361621	1.086861064	1.08366043770827	1.36983877199612	1.04400074660972	0.917426820674363	-0.944337768680536	-0.243771551276047	-0.56284636786206	0.360736196353898	0.881342009782524	1.06605801281175	0.734006902544947	0.648677219859368	0.227976759623582	0.837794284642196	0.747928415136099	1.02877709118599	1.0138998466329	1.04984226429224	1.18634326711057
AKT	-0.076790239	-0.102629064	-0.148791506	-0.166708556	-0.032306214	-0.454266174	-0.582450456	-0.574749477	-0.704784706	-0.339992099	-0.464533287	-1.284480415	-1.109964244	-0.194063978	-0.232673795	-0.214683632	-0.563417888	-0.320776315	-0.069747065	-0.233833708518146	-0.117910627880879	-0.0666609533776108	-0.106031989946039	-1.27884104289636	-0.764588661356891	-1.15161753622787	-0.796199375418086	-0.436786108140323	-0.287693957139141	-1.36726162421079	-1.57598501251884	-1.0300428789891	-0.409997475709125	-0.422782564341034	-0.34598702258619	0.0106538464632964	-0.264389863715449	-0.162859593111498
AKT_pS473	2.551879371	-1.851732625	-1.11426606	1.75843645	1.831546782	1.732916841	1.849939906	2.885801538	2.897129371	2.946852367	2.864078008	0.115355996	0.245489152	0.578053407	0.691351624	0.79866397	0.404389394	0.650533586	0.776638017	-11.7662611962356	-10.805807342305	5.22098487042009	5.74848273749341	5.36100699646546	5.8905418626257	10.0530963220389	11.0251320785699	10.1356296899052	11.3824310698042	0.759699649134773	0.965006755816164	-0.398572357221873	0.43664204623161	0.730638807134875	0.590697590403784	0.853925957048991	0.580038230458711	0.707687366722032
AKT_pT308	1.802948364	-1.915088548	-1.655253541	1.194556391	1.713265845	1.130441308	1.469015979	2.237324904	2.574084957	2.648884923	2.83275616	0.097931923	0.256492395	-0.00218167	0.050713331	0.175241668	-0.012573107	0.15091383	0.117489806	-3.73220568999005	-3.3470658217397	2.65134859759582	2.56161539545992	2.43913220942393	2.77298956996489	4.92125188321352	5.12842882714756	5.76630037797163	5.70540527026074	1.44150400303316	1.29697439528935	-0.154939280907458	0.209387300456748	-0.0305568834497587	0.0444579389092582	0.102748185018821	0.0982457464625626	0.0553215706023696
AMPKALPHA	-0.624198029	-0.233906068	-0.043442461	-0.270835219	0.007190154	-0.763278077	-0.445189572	-0.802009187	-0.527684892	-0.089895607	0.020331964	-0.133604114	-0.065541009	-0.315764919	-0.38947029	-0.308495883	-0.335895503	-0.256877764	-0.203975393	-0.291657197100767	0.10073844995491	0.225716011748373	0.161639164458725	-1.21038798484737	-0.792145828434256	-0.862951224958457	-0.524881101196694	0.492161789000417	0.380041299966384	0.861710939989364	0.55133046682455	-0.427423384704854	-0.243923435228952	-0.275342539989254	-0.423557171543467	-0.318646803295884	-0.270780958045846	-0.278228843896596
AMPKALPHA_pT172	-1.551522683	-0.68959174	-0.464576262	-0.924911127	-0.756121563	-1.287861015	-1.032027751	-1.357936271	-1.122829463	1.092342311	1.010768951	-0.783832949	-0.642192692	-0.355250866	-0.700515171	-0.639472845	-0.552796652	-0.632887084	-0.433878354	-0.66582039857255	-0.343064448979035	-1.07360797434514	-1.25116214563639	-2.03810361599795	-1.46040896503053	-1.52430638911595	-1.04145787751793	2.73227069319017	2.83990220764201	0.22660600112518	-0.108607459271424	-0.694394656564346	-0.686900346297994	-0.683540986987791	-0.631602014993505	-0.432414269529099	-0.502481566383259	-0.377861787808353
AR	1.300881372	-0.968173451	-0.743631755	-0.814565277	-0.767023153	-1.294931106	-0.913560718	-1.054855031	-0.870627154	-0.967600721	-0.635196778	-0.537510947	-0.274254594	-0.31669898	-0.338573761	-0.119971641	-0.238072391	-0.15674381	-0.175707739	-0.877596185066769	-0.773868755476379	-1.0787360577814	-0.838852310140985	-1.08331116175988	-1.15461667709519	-1.06945664946095	-0.765480112799148	-0.460396014915129	-0.0530331517495444	-0.239891601561091	0.110947417059103	-0.259729275014947	-0.299287971159101	-0.210039277912961	-0.0675972670400234	-0.195985174395675	-0.26784098323981	-0.30501764825243
ASNS	0.705781758	2.111703742	2.371796526	2.070933659	2.32409799	1.898632568	2.101266397	1.682932119	1.935728653	1.366905399	1.410367456	1.905512135	2.036428571	1.711373203	1.773083336	1.927363856	1.238516892	1.902036091	1.87801825	2.54419174833065	2.90512462896268	2.62777952590922	3.09754955199661	1.31179308029833	2.11918050592317	1.48877066203416	2.31541680325407	0.564815959826025	0.824481266926171	1.78495866377934	2.00387594216705	0.756330390960172	1.62686563502954	1.81261094003474	1.44003715787965	1.58622480033554	1.77657342837337	2.18807966634715
ATM	-0.632000228	0.596929566	0.777534951	0.381989319	0.520197526	-1.192049281	-0.860653004	-1.182050815	-1.118488177	-0.794610758	-0.760134914	-1.365098893	-1.166764804	-0.282700537	-0.156286706	-0.193506117	-1.020754848	-0.347881663	0.166677272	1.68504754322525	2.19681326761732	2.28797529968338	1.76023903675209	-3.37404442632066	-2.91508665103293	-2.80339886863999	-1.71804997183958	-1.61117462541459	-1.75019998678291	-2.01214906416441	-2.66625179768277	-0.539700653521497	0.0181309667189449	-0.35859936403743	0.145354205273588	-0.949847253899384	-0.490646669623772	-0.198844483431946
BAK	-0.318127209	0.053975238	0.189660038	-0.074199609	0.047440018	-0.242368	-0.055706316	-0.048761754	0.081699504	0.852484136	0.873382072	1.773195562	1.817640065	0.099860284	0	0.214748542	0.014754953	0.287094779	0.24394628	0.119541514547533	0.0581452667346593	-0.121500013735228	-0.127359422366928	-0.0962283987974839	-0.330267768059108	-0.184612379242172	-0.131330953164874	0.248913995433467	0.160985507042616	0.635683093811799	0.493380705640878	0.116956067662225	0.073079451235114	0.00827977724925872	0.126439002802614	0.369340594583874	0.154115933394151	0.129150078734988
BAX	-1.700861619	-0.736473602	-0.693962652	-0.852283384	-0.753723079	-0.907724167	-0.699616631	-0.994834898	-0.807404704	-2.833624313	-2.445662375	-2.538709508	-2.05620582	-0.618093259	-0.687085879	-0.813851996	-0.687305543	-0.802024575	-0.710507391	-0.551232230533368	-0.51381131351371	-0.536933063840603	-0.37750329067174	-0.678993802880764	-0.469139558812057	-0.537344437660564	-0.359991222556348	-2.37177342157162	-2.19848644040255	-2.25373425467992	-1.90636276818838	-0.791604561624497	-0.753326555905976	-0.755718157868306	-0.745872812272913	-0.806992364006271	-0.608629698618225	-0.648329054328309
BCL2	-0.098398426	-0.741262887	-0.518187789	-0.529154634	-0.607299723	-0.982950521	-0.46848033	-0.563666213	-0.504033605	1.043848539	0.7680317	1.089223199	0.818742457	-0.81603943	-0.663517253	-0.584319431	-0.763144018	-0.661062797	-0.649471843	-0.276426768059319	-0.410275759219732	-0.538602053347651	-0.325078707215728	-0.235745106357162	-0.280816428364781	-0.240317519036311	-0.240735480679877	2.3586387341358	2.25276776030939	2.91647541771858	2.92491796415124	-0.455830736976765	-0.590723646947596	-0.765125533877827	-0.799715325391179	-0.695963885545583	-0.685424366629986	-0.600602013607829
